country,country_code,year,region,gdp_per_capita,urban_population_percent,rural_population_percent,population_density,total_population,renewable_energy_percent,government_effectiveness,elec_access_change,gdp_growth,urban_change,pred_risk_category,pred_electricity_access
Afghanistan,AFG,2024,Other,402.0467365025473,25.5553847329008,74.4446152670992,63.5585008355948,41454761.0,20.0,-1.98701369762421,-3.1000000000000014,-2.830437401344803,0.08233176978410038,Minimal,63.60960556508971
Albania,ALB,2024,Other,10996.256872398782,58.57228398505075,41.42771601494925,88.1056569343066,2414095.0,41.9,0.250855356454849,0.0,13.003850168391493,0.36167537126505067,Minimal,99.50954064822683
Algeria,DZA,2024,Other,5671.330514624397,75.29539642066811,24.704603579331888,19.3825602290762,46164219.0,0.1,-0.670135140419006,0.12499999999999997,5.6019840765981375,0.5625880565301244,Minimal,98.45701390925322
Andorra,AND,2024,Other,48503.95166859197,88.89040631047912,11.109593689520878,172.034042553191,80856.0,18.7,1.4754387140274,0.0,3.61341145537088,0.07024538877092465,Minimal,99.99772845104395
Angola,AGO,2024,Other,3211.5564959676403,70.64843344804379,29.35156655195621,29.4777460495709,36749906.0,52.9,-1.00890958309174,1.375,10.130521999475214,0.7969302259980999,Severe,59.96609329813987
Antigua and Barbuda,ATG,2024,Other,22408.71865526067,24.3854352049165,75.6145647950835,212.081818181818,93316.0,0.9,0.380410820245743,0.0,4.253037936425108,-0.0645804638256999,Minimal,99.69562602741532
Argentina,ARG,2024,Other,15820.243604552768,92.27894541939332,7.721054580606676,16.6399559321662,45538401.0,9.2,-0.377517342567444,0.0,10.927035503146643,0.08443219360262685,Minimal,99.89904456357823
Armenia,ARM,2024,Other,9526.380833069345,65.8684344118458,34.1315655881542,105.119108748259,2964300.0,9.1,-0.184129968285561,0.0,16.757923873729705,0.1727462109606001,Minimal,99.4836664490504
Aruba,ABW,2024,Other,37764.363721344984,61.72186751272737,38.27813248727263,596.438888888889,107359.0,8.8,0.795440852642059,0.0,5.726993311768482,-0.11328175483152589,Minimal,99.87895208142675
Australia,AUS,2024,Other,68010.68903126406,87.53287825951047,12.467121740489532,3.46591948538875,26659922.0,12.3,1.58987963199615,0.0,4.537942442550081,0.04618269413397158,Minimal,99.99025173719343
Austria,AUT,2024,Other,58480.73951109819,69.45376866573957,30.546231334260426,110.661185167232,9131761.0,36.0,1.32668149471283,0.0,3.3602898493665743,0.22723283813747483,Minimal,99.99365302100246
Azerbaijan,AZE,2024,Other,8048.749986806232,58.601714011018274,41.398285988981726,122.854906231095,10153958.0,1.3,-0.0326422192156315,0.0,12.837767599922415,0.0941789626480744,Minimal,99.40940249367596
"Bahamas, The",BHS,2024,Other,39981.00554452729,81.1952883146294,18.804711685370606,39.9040959040959,399440.0,1.1,0.270353257656097,0.0,4.5753331720677135,-0.12609160273820305,Minimal,99.9907300899371
